,direction,postal,center_name,state,website,city,email
425,Calle Las Golondrinas Nº 337,Lima 27, CENTRO PREVENTIVO Y  ASISTENCIAL EN ADICCIONES DE LUJAN DE CUYO\n\t\t\n\t\t\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\n\n\n\n\n\t\n\t\n\t\t\n\t\t\n\t\t,LUJAN DE CUYO/ MENDOZA,http://no hay,DRUMMOND,sofiagalvis@yahoo.com.ar
426,"AV. BENAVIDES 3583 - OFICINA 302, URB. LOS ROSALES",LIMA 33, Servicio de Adolescencia\n\t\t\n\t\t\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\n\n\n\n\n\t\n\t\n\t\t\n\t\t\n\t\t,Chaco,http://www.hospitalprovincialneuquen.gov.ar,Resistencia,ckelly112002@yahoo.com.ar
427,"Ca. Pinerolo 181, Block 2, Dpto 404, Monterrico Chico, Surco, Lima",Lima 33, Instituto de Rehabilitacion Arroyito\n\t\t\n\t\t\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\n\n\n\n\n\t\n\t\n\t\t\n\t\t\n\t\t,Neuquen,http://www.confianza.com.py,Arroyito,cm.confianza@obedira.com.py
428,AV. LAS TORRES MZ. B LTE. 7 AA.VV. LAS RETAMAS,LIMA 22, Confianza Asistencia\n\t\t\n\t\t\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\n\n\n\n\n\t\n\t\n\t\t\n\t\t\n\t\t,Capital,http://www.ocaminho.org.br,Asunción,sanroque@ocaminho.org.br
429,CA. PACIFICO NORTE 1301,LIMA 23, Casa de Acogida Hijos Predilectos\n\t\t\n\t\t\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\n\n\n\n\n\t\n\t\n\t\t\n\t\t\n\t\t,Capital,http://www.guatape.gov.co,Asunción,alcaldia@guatape-antioquia.gov.co
430,calle 14 esquina 11,6064, Municipio de Guatap\xe9\n\t\t\n\t\t\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\n\n\n\n\n\t\n\t\n\t\t\n\t\t\n\t\t,Antioquia,http://www.fundacionrefugioalfarero.org,Guatape,fundacionalfarero62@hotmail.com
431,Jr Haiti 210,Lima 43, Fundaci\xf3n Refugio Alfarero\n\t\t\n\t\t\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\n\n\n\n\n\t\n\t\n\t\t\n\t\t\n\t\t,Cundinamarca,http://www.psicoadicciones.org ,Bogotá,trimboli@live.com
432,JR. TAMBO DE BELEN 232,01, Hospital General de Agudos Dr. Teodoro Alvarez\n\t\t\n\t\t\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\n\n\n\n\n\t\n\t\n\t\t\n\t\t\n\t\t,Ciudad de Buenos Aires,http://www.centrounidoscolombia.com,Capital Federal,centro_unidos@yahoo.com
433,VATE MANRIQUE S/N,PIU 01, Cad Centro Unidos Colombia SAS\n\t\t\n\t\t\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\n\n\n\n\n\t\n\t\n\t\t\n\t\t\n\t\t,Antioquia,http://www.cadmariauxiliadora.com,Envigado,oficina@cadmariaauxiliadora.com
434,"Av. República de Panamá, 6598-A",Lima 04, Centro de Atenci\xf3n en Drogadicci\xf3n (CAD) Mar\xeda Auxiliadora\n\t\t\n\t\t\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\n\n\n\n\n\t\n\t\n\t\t\n\t\t\n\t\t,Antioquia,http://www.sada.gba.gov.ar/,Rionegro,cpaavellaneda@yahoo.com.ar
435,Jirón Conchucos 720,Cercado de Lima (1), CPA Avellaneda\n\t\t\n\t\t\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\n\n\n\n\n\t\n\t\n\t\t\n\t\t\n\t\t,Buenos Aires,http://www.nuevosrumbos.org,Piñeiro,info@nuevosrumbos.org
436,"Calle Piura 750, Miraflores",Lima 18, Corporaci\xf3n Nuevos Rumbos\n\t\t\n\t\t\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\n\n\n\n\n\t\n\t\n\t\t\n\t\t\n\t\t,Cundinamarca ,http://www.fundacionaedificare.org,Bogota D.C,atencion@fundacionaedificare.org
437,AA.HH. SR. DE LOS MILAGROS,82, Fundaci\xf3n Aedificare\n\t\t\n\t\t\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\n\n\n\n\n\t\n\t\n\t\t\n\t\t\n\t\t,Cundinamarca,http://www.fundacionmazal.com,Bogotá,informacion@fundacionmazal.com
438,"Av. Los Tucanes Mz. P-2, lote 13, Huachipa",Lima 15, Fundaci\xf3n Mazal\n\t\t\n\t\t\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\n\n\n\n\n\t\n\t\n\t\t\n\t\t\n\t\t,Distrito Capital/Cundinamarca,http://preven-in.wix.com/preven-in,Bogota/Barrios Unidos,preven-in@hotmail.com
439,JR. CARABAYA 831,LIMA 01, Preven-In S.A.S\n\t\t\n\t\t\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\n\n\n\n\n\t\n\t\n\t\t\n\t\t\n\t\t,Cundinamarca,http://No posee,Bogotá,drluisroca@yahoo.com.ar
440,"Av. La Encalada cdra. 17 s/n, Monterrico",L33, Hospital Dr. Rizo Esparza\n\t\t\n\t\t\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\n\n\n\n\n\t\n\t\n\t\t\n\t\t\n\t\t,San Juan,http://www.loteriaycasino.mendoza.gov.ar,Angaco,alvarezgabriela@ipjycmail.mendoza.gov.ar
441,"Calle Chiclayo 822, Miraflores",Lima 18, Instituto Provincial de Juegos y Casinos de Mendoza - Programa Juego Responsable\n\t\t\n\t\t\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\n\n\n\n\n\t\n\t\n\t\t\n\t\t\n\t\t,Mendoza,http://www.ctsanbartolome.com,Godoy Cruz,sanbartolo1@hotmail.com
442,"Calle Carlos Gonzáles 251, Urb.  Maranga",Lima 32, Comunidad Terap\xe9utica San Bartolom\xe9 S.A.S\n\t\t\n\t\t\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\n\n\n\n\n\t\n\t\n\t\t\n\t\t\n\t\t,Antioquia,http://organismos.chubut.gov.ar/adicciones/,Rionegro,centroadiccionestw@yahoo.com.ar
443,"Av. Bernado Balaguer s/n, Ñaña",Lima 15, Centro de D\xeda de Adicciones Trelew\n\t\t\n\t\t\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\n\n\n\n\n\t\n\t\n\t\t\n\t\t\n\t\t,Chubut,http://no posee,Trelew,centro_biedak@yahoo.com.ar
444,AV. CESAR VALLEJO N° 1390,LIMA 10, Centro de D\xeda para la Asistencia de las Adicciones Dr. Enrique Biedak\n\t\t\n\t\t\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\n\n\n\n\n\t\n\t\n\t\t\n\t\t\n\t\t,Buenos Aires,http://www.fundaciongrupodeapoyo.co,CABA,fundaciongrupodeapoyo@hotmail.com
445,Av. Militar 2733,Lima 14, Fundaci\xf3n Grupo de Apoyo\n\t\t\n\t\t\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\n\n\n\n\n\t\n\t\n\t\t\n\t\t\n\t\t,Tolima,http://organismos.chubut.gov.ar/adicciones/,Ibagué,adicciones.salud@gmail.com
446,CARRETERA CENTRAL KM 7.5 ATE,LIMA 03, Direccion Provincial de Prevnci\xf2n y Asistencia de las Adicciones. Ministerio de Salud. Provincia de Chubut.\n\t\t\n\t\t\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\n\n\n\n\n\t\n\t\n\t\t\n\t\t\n\t\t,Chubut,http://www.hospitalborda.com.ar/,Rawson,coppoladaniel@yahoo.com.ar
447,Av. Ramòn Castilla Nº 385 Castilla,240, Hospital Jos\xe9 T. Borda - Servicio de Consultorios Externos - Equipo de Adicciones\n\t\t\n\t\t\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\n\n\n\n\n\t\n\t\n\t\t\n\t\t\n\t\t,capital federal,http://www.buenosaires.gov.ar,Capital Federal,casapuerto2010@gmail.com
448,Calle 58 # 1W-65,57, Comunidad Terap\xe9utica Casa Puerto\n\t\t\n\t\t\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\n\n\n\n\n\t\n\t\n\t\t\n\t\t\n\t\t,Capital Federal,http://no posee,Ciudad Autónoma de Buenos Aires,ongcopac.delioc@gmail.com
449,Av. La marina Mz.A Lt.5  Urb. Paraiso,13601, Centro de Orientaci\xf3n y Prevenci\xf3n del Adicto y Co-adicto\n\t\t\n\t\t\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\n\n\n\n\n\t\n\t\n\t\t\n\t\t\n\t\t,Central,http://www.remarparaguay.org.py,Fernando de la Mora,remarparaguay777@gmail.com
450,Carrera 56 C N° 51 - 90,050010, Fundaci\xf3n REMAR - Paraguay\n\t\t\n\t\t\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\n\n\n\n\n\t\n\t\n\t\t\n\t\t\n\t\t,Capital,http://www.alcoholicos-anonimos.webs.com,Asunción,aagrupoamoryservicio@hotmail.com
451,Jr. Puno N°158,Lima 01, Alcoholicos An\xf3nimos Grupo Amor y Servicio\n\t\t\n\t\t\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\n\n\n\n\n\t\n\t\n\t\t\n\t\t\n\t\t,Cundinamarca,http://www.organismos.chubut.gov.ar/adicciones,Bogota,centroadiccionespm@yahoo.com.ar
452,Prolongacion San Martin S/N - Parque Municipal de Barrancoa,Lima 4, Centro de D\xeda de Adicciones Puerto Madryn\n\t\t\n\t\t\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\n\n\n\n\n\t\n\t\n\t\t\n\t\t\n\t\t,Chubut,http://no dispone,Puerto Madryn,gallipy@gmail.com
453,Alvear de Arenales 191 ,• Bº Juniors • Ciudad de Córdoba, Centro Educativo Itaugua\n\t\t\n\t\t\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\n\n\n\n\n\t\n\t\n\t\t\n\t\t\n\t\t,Central,http://www.pilares.org,Itaugua,clinica.los.pilares@gmail.com
454,Av. Miguel Iglesias 968,01," Cl\xednica ""Los Pilares""\n\t\t\n\t\t\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\n\n\n\n\n\t\n\t\n\t\t\n\t\t\n\t\t",Central,http://organismos.chubut.gov.ar/adicciones/,Itaugua,centroadiccionesrw@yahoo.com.ar
455,Jr. San Miguel 155,Lima 34, Centro de D\xeda de Adicciones Rawson\n\t\t\n\t\t\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\n\n\n\n\n\t\n\t\n\t\t\n\t\t\n\t\t,Chubut,http://organismos.chubut.gov.ar/adicciones/,Rawson,centroadiccionese@yahoo.com.ar
456,AV. ABANCAY CUADRA 5 S/N,Lima 1, Centro de D\xeda de Adicciones Esquel \n\t\t\n\t\t\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\n\n\n\n\n\t\n\t\n\t\t\n\t\t\n\t\t,Chubut,http://organismos.chubut.gov.ar/adicciones/,Esquel ,centroadiccionescr.zonanorte@yahoo.com.ar
457,León Morra 102 • Esq. Américo Vespucio ,5000, Centro de D\xeda de Adicciones El faro zona norte\n\t\t\n\t\t\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\n\n\n\n\n\t\n\t\n\t\t\n\t\t\n\t\t,Chubut,https://www.facebook.com/elfaroasociacion/about,Comodoro Rivadavia,programakume@gmail.com
458,Jr. Juan Valer Nº 300 (ex Cueva),Lima 21, Programa K\xfcme\n\t\t\n\t\t\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\n\n\n\n\n\t\n\t\n\t\t\n\t\t\n\t\t,Mendoza,http://www..nar-anon.org,Ciudad,andreamidarragaQhotmail.com
459,Jr. Azángaro 374 - piso 2,Lima 01, Nar-Anon Grupo Un Nuevo Amanecer\n\t\t\n\t\t\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\n\n\n\n\n\t\n\t\n\t\t\n\t\t\n\t\t,Quindío,http://codeijdandes@gmail.com,Armenia,elnegropier@gmail.com; ana_gosso@yahoo.com.ar
460,Jr. 28 de Julio N° 486,51, Hospital Junin de los Andes\n\t\t\n\t\t\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\n\n\n\n\n\t\n\t\n\t\t\n\t\t\n\t\t,Huiliches,http://lugardereencuentro.org,Junin de los Andes,lugardereencuentrofundacion@gmail.com
461,Av. Abancay cuadra 5 s/n,Lima 01, Fundaci\xf3n Lugar Reencuentro\n\t\t\n\t\t\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\n\n\n\n\n\t\n\t\n\t\t\n\t\t\n\t\t,Meta,http://www.nar-anon.org,Restrepo,vivivillamil@hotmail.com
462,calle 14 esquina 11,6064, Nar-Anon Grupo Fe Y Recuperaci\xf3n\n\t\t\n\t\t\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\n\n\n\n\n\t\n\t\n\t\t\n\t\t\n\t\t,Cundinamarca,http://www.nar-anon.org,Bogotá D. C.,titoelles1@gmail.com
