"Nombre_centro","Nombre_capacitacion","Capacitacion_contenido","Capacitation_horas","Capacitation_certificacion","Pais","Atual","Desde","Modalidade","Responsable_email","Center_telefono"
"CENTRO REGIONAL DE REFERÊNCIA EM CRACK, ÁLCCOL E OUTRAS DROGAS","FORMAÇÃO PERMANENTE DE PROFISSIONAIS LIGADOS A ASSISTÊNCIA DE FAMILIARES E USUÁRIOS DE CRACK E OUTRAS DROGAS. DE SETE LAGOAS E MUNICÍPIOS DA MICRORREGIÃO DO ALTO RIO DAS VELHAS

CURSOS: ENTRELAÇANDO REDES","UNIDADE EDUCACIONAL INTEGRATIVA I

UNIDADE TEÓRICA/PRÁTICA

OBJETIVO: PROPORCIONAR REFLEXÕES CRÍTICAS ACERCA DA SITUAÇÃO DE RISCO SOCIAL, DA CONSTRUÇÃO SOCIAL DO CONCEITO DE DESVIO E MARGINALIDADE, DA DISTINÇÃO E GOSTO NOS PROCESSOS DE EXCLUSÃO SOCIAL E AS RELAÇÕES DO USO DE ÁLCOOL, CRACK E OUTRAS DROGAS, O TRÁFICO E O PRECONCEITO; PROBLEMATIZAR A RELAÇÃO USUÁRIO, TRAFICANTE E SOCIEDADE. INTRODUZIR OS CONCEITOS EPIDEMIOLÓGICOS BÁSICOS RELACIONADOS AO USO, ABUSO E DEPENDÊNCIA DE DROGAS; INTRODUZIR O CONCEITO DE REDES NA SOCIEDADE ATUAL. 

METODOLOGIA: AULA EXPOSITIVA; TEATRO DO OPRIMIDO; DEBATES EM GRUPO.

RESULTADOS: REFLEXÃO SOBRE A SOCIEDADE ATUAL E SEU NÍVEL DE COMPLEXIDADE; APREENSÃO DOS DIFERENTES TIPOS DE REDES; APREENSÃO DOS CONCEITOS EPIDEMIOLÓGICOS E O ÍNDICE DO USO DE ÁLCOOL. CRACK E DROGAS NO CENÁRIO BRASILEIRO.

INTERVISÃO

OBJETIVOS: PROPORCIONAR REFLEXÕES CRÍTICAS SOBRE SI PRÓPRIO, SOBRE O OUTRO E O SEU CONTEXTO DE ATUAÇÃO E NO ATUAL CONTEXTO SOCIAL; CONHECER OS EQUIPAMENTOS SOCIAIS DISPONÍVEIS NO MUNICÍPIO, SUAS POTENCIALIDADES E SUAS FRAGILIDADES; INICIAR A CONSTRUÇÃO DE REDES.

METODOLOGIA: DINÂMICAS E DISCUSSÃO EM GRUPO.
RESULTADOS: REFLEXÕES SOBRE A IMPORTÂNCIA DE TODOS OS AGENTES SOCIAIS NA CONSTRUÇÃO DE UMA REDE EFETIVA PARA O ENFRENTAMENTO DO USO E ABUSO DE ÁLCOOL, CRACK E OUTRAS DROGAS; CONHECIMENTO E DISCUSSÃO SOBRE OS EQUIPAMENTOS EXISTENTES NO MUNICÍPIO E SUAS FINALIDADES; REFLEXÕES SOBRE AS POTENCIALIDADES E FRAGILIDADES DE CADA EQUIPAMENTO E A UTILIZAÇÃO DO MESMO COMO UMA FORMA DE OTIMIZAR AS AÇÕES EM REDE. 

UNIDADE EDUCACIONAL INTEGRATIVA II

UNIDADE TEÓRICA/PRÁTICA

OBJETIVO: PROPORCIONAR REFLEXÕES SOBRE AS POLÍTICAS PÚBLICAS PARA O ENFRENTAMENTO DO USO E ABUSO DE ÁLCOOL, CRACK E OUTRAS DROGAS E AS ESTRATÉGIAS FORNECIDAS PELAS MESMAS; PROPORCIONAR REFLEXÕES SOBRE A INTERSETORIALIDADE E DA POLÍTICA DE REDUÇÃO DE DANOS. 
METODOLOGIA: OFICINAS TEMÁTICAS COM DISPARADORES COMUNICACIONAIS; AULA EXPOSITIVA; DINÂMICAS. 

RESULTADOS: REFLEXÕES SOBRE O POTENCIAL DO TRABALHO EM REDE NO ENFRENTAMENTO DO USO E ABUSO DE ÁLCOOL, CRACK E OUTRAS DROGAS E O CONHECIMENTO E REFLEXÕES SOBRE A ABORDAGEM DE REDUÇÃO DE DANOS. 

INTERVISÃO
OBJEIVO: PROPORCIONAR REFLEXÕES SOBRE SI PRÓPRIO, NO CONTEXTO DA REDE DE ATENÇÃO AOS USUÁRIOS DE ÁLCOOL, CRACK E OUTRAS DROGAS, SOBRE A IMPORTÂNCIA DA INTERSETORIALIDADE NO ENFRENTAMENTO DO USO E ABUSO E ÁLCOOL, CRACK E OUTRAS DROGAS E SOBRE OS PROBLEMAS COTIDIANOS NESTE CONTEXTO. 

MÉTODO: DINÂMICA E DISCUSSÃO EM GRUPO.

RESULTADOS: REFLEXÃO ACERCA DA IMPORTÂNCIA DO TRABALHO E DAS AÇÕES DE TODOS OS AGENTES SOCIAIS EM REDE PARA O ENFRENTAMENTO DO USO E ABUSO DE ÁLCOOL, CRACK E OUTRAS DROGAS; REFLEXÕES CRÍTICAS SOBRE OS PROBLEMAS COMUNS ENFRENTADOS NO COTIDIANO.

UNIDADE EDUCACIONAL INTEGRATIVA III

UNIDADE TEÓRICA/PRÁTICA

OBJETIVO: DEBATER SOBRE FATORES DE RISCO E DE PROTEÇÃO PARA O USO ABUSO DE ÁLCOOL, CRACK E OUTRAS DROGAS; PROBLEMATIZAR AS MEDIDAS SOCIOEDUCATIVAS PARA JOVENS ENVOLVIDOS COM USO E O TRÁFICO DE DROGAS,  MEDIDAS DE PREVENÇÃO PARA USO DE ÁLCOOL, CRACK E OUTRAS DROGAS EM ADOLESCENTES. REFLETIR SOBRE A IMPORTÂNCIA DO ENGAJAMENTO DA FAMÍLIA NO TRATAMENTO DO USUÁRIO E DO DEPENDENTE DE DROGAS.

MÉTODO: TEATRO DO OPRIMIDO, AULA EXPOSITIVA, RODA DE CONVERSA E DINÂMICA.

RESULTADOS: REFLEXÕES SOBRE AS DIFERENTES CONFIGURAÇÕES FAMILIARES E DOS DIFERENTES MANEIRAS DE PROTEÇÃO AO USO E ABUSO DE ÁLCOOL, CRACK E OUTRAS DROGAS; REFLEXÕES SOBRE A DISTÂNCIA DAS MEDIDAS PROTETIVAS E A REALIDADE DO JOVENS NA SOCIEDADE ATUAL; REFLEXÕES SOBRE AS DIFERENTES ABORDAGENS CLINICAS NO ENFRENTAMENTO AO USO E ABUSO DE ÁLCOOL, CRACK E OUTRAS DROGAS.


INTERVISÃO

OBJETIVO: PROPORCIONAR REFLEXÕES SOBRE A IMPORTÂNCIA DO COMPROMETIMENTO DOS AGENTES SOCIAIS NAS AÇÕES EM REDE PARA MELHOR ENFRENTAMENTO DA PROBLEMÁTICA DO USO E ABUSO DE ÁLCOOL, CRACK E OUTRAS DROGAS NO ATUAL CONTEXTO SOCIAL. 

MÉTODO: DINÂMICAS; INÍCIO DA CONSTRUÇÃO DO MAPA DE REDES; DISPARADORES COMUNICACIONAIS; DISCUSSÃO EM GRUPO.

RESULTADOS: MANIFESTAÇÃO DO DESEJO DE ENGAJAR-SE NA RESOLUÇÃO DOS PROBLEMAS COTIDIANOS ENFRENTADOS PELA REDE NO ENFRENTAMENTO DO USO E ABUSO DE ÁLCOOL, CRACK E OUTRAS DROGAS.

UNIDADE EDUCACIONAL INTEGRATIVA IV

UNIDADE TEÓRICA/PRÁTICA

OBJETIVO: PROPORCIONAR REFLEXÕES SOBRE REDES, CONFIGURAÇÕES NO ENFRENTAMENTO AO USO E ABUSO DE ÁLCOOL, CRACK E OUTRAS DROGAS E SOBRE A IMPORTÂNCIA DA MOBILIZAÇÃO SOCIAL; REFLEXÕES SOBRE OS TRABALHADORES E SUA REALIDADE RELATIVAS AO ADOECIMENTO PROFISSIONAL;  REFLEXÕES SOBRE AS DIFERENTES ABORDAGENS TERAPÊUTICAS PARA O USO DE DROGAS

MÉTODO: AULA EXPOSITIVA, ESTUDO DE CASO E DINÂMICA.

RESULTADOS: REFLEXÕES SOBRE OS ASPECTOS TÉCNICOS CIENTÍFICOS QUE NÃO CONHECIAM SOBRE A TEMÁTICA; TOMADA DE CONSCIÊNCIAS DOS FATORES DE ADOECIMENTO PROFISSIONAL E SEU ENFRENTAMENTO; REFLEXÕES SOBRE A IMPLICAÇÃO DAS AÇÕES EM REDE E DO PAPEL DAS CONFIGURAÇÕES PESSOAIS E SOCIAIS NA ASSISTÊNCIA AO USUÁRIO DE ÁLCOOL CRACK E OUTRAS DROGAS.


INTERVISÃO

OBJETIVO: REFLETIR E CONSTRUIR EM GRUPO POSSÍVEIS SOLUÇÕES PARA O ENFRENTAMENTO AO USO E ABUSO DE DROGAS EM REDES.

MÉTODO: FINALIZAÇÃO DO MAPA DE REDE; DISCUSSÃO EM GRUPO.
	
RESULTADOS: REFLEXÕES E PROPOSIÇÕES DE SOLUÇÕES PARA O ENFRENTAMENTO AO USO E ABUSO DE DROGAS EM REDE; MANIFESTAÇÃO DO DESEJO DE ENGAJAR-SE NA RESOLUÇÃO DOS PROBLEMAS EM REDE.

","64","NO","BRASIL","NO","2015","PRESENCIAL,","PROFESSORAUFMG@GMAIL.COM","31-991374448"
" CENTRO REGIONAL DE REFERENCIA PARA ENFRENTAMENTO AO CRACK E OUTRAS DROGAS DA UNIVERSIDADE FEDERAL DO PARANÁ (UFPR)"," 1. ATENÇÃO EM SAÚDE MENTAL, ÁLCOOL E OUTRAS DROGAS EM SITUAÇÕES DE CRISES/URGÊNCIAS E EMERGÊNCIAS.
2. DISPOSITIVOS TERAPÊUTICOS EM SAÚDE MENTAL, ÁLCOOL E OUTRAS DROGAS"," 1. 
A. DROGAS: SUJEITO, CONTEXTO E DROGAS: A COMPLEXIDADE DO FENÔMENO DO USO DE DROGAS 
B. PADRÕES DE USO: TIPOS DE USO, ABUSO, DEPENDÊNCIA
C. SITUAÇÕES DE CRISE EM ÁLCOOL E OUTRAS DROGAS
D. ABORDAGENS EM SITUAÇÕES DE URGÊNCIA/EMERGÊNCIAS EM ÁLCOOL  OUTRAS DROGAS
E. ABORDAGENS TERAPÊUTICAS DO USUÁRIO DE DROGAS
2.
A. DROGAS: SUJEITO, CONTEXTO E DROGAS: A COMPLEXIDADE DO FENÔMENO DO USO DE DROGAS 
B. PADRÕES DE USO: TIPOS DE USO, ABUSO E DEPENDÊNCIA
C. CONCEITOS FUNDAMENTAIS: ESCUTA, VÍNCULO, EMPATIA, ACEITAÇÃO INCONDICIONAL.
D. PROJETO TERAPÊUTICO SINGULAR (PTS)
E. INTERVENÇÃO BREVE E ENTREVISTA MOTIVACIONAL
F. ACOMPANHAMENTO TERAPÊUTICO E ABORDAGENS NA RUA 
G. ABORDAGENS TERAPÊUTICAS EM GRUPO
H. ABORDAGENS COM FAMILIARES 
I. ESTRATÉGIAS DE AUTO FORTALECIMENTO, MÚTUA AJUDA E REABILITAÇÃO PSICOSSOCIAL. 
","60","NO","BRASIL","NO","2016","PRESENCIAL,","CRR@UFPR.BR","41-991394761"
" CENTRO REGIONAL DE REFERÊNCIA
PARA FORMAÇÃO DE PROFISSIONAIS QUE ATUAM
COM USUÁRIOS DE CRACK E OUTRAS DROGAS E SEUS FAMILIARES
UNIVERSIDADE FEDERAL DE SANTA CATARINA
","CENTRO REGIONAL DE REFERÊNCIA
PARA FORMAÇÃO DE PROFISSIONAIS QUE ATUAM
COM USUÁRIOS DE CRACK E OUTRAS DROGAS E SEUS FAMILIARES
UNIVERSIDADE FEDERAL DE SANTA CATARINA
"," APERFEIÇOAMENTO EM CRACK E OUTRAS DROGAS

ATUALIZAÇÃO EM ATENÇÃO INTEGRAL AOS USUÁRIOS DE CRACK E OUTRAS DROGAS

ATUALIZAÇÃO SOBRE INTERVENÇÃO BREVE E ACONSELHAMENTO MOTIVACIONAL EM CRACK E OUTRAS DROGAS

ATUALIZAÇÃO EM GERENCIAMENTO DE CASOS E REINSERÇÃO SOCIAL DE USUÁRIOS DE CRACK E OUTRAS DROGAS

FUNDAMENTOS BÁSICOS  PARA O CUIDADO EM SAÚDE MENTAL  NA ÁREA DE ÁLCOOL E OUTRAS DROGAS

ABORDAGENS EM SAÚDE MENTAL, ÁLCOOL E OUTRAS DROGAS

PREVENÇÃO AO USO PROBLEMÁTICO DE ÁLCOOL E OUTRAS DROGAS NA ADOLESCÊNCIA
","336","NO","BRASIL","NO","2013","PRESENCIAL,","CRRUFSC@UFSC.BR","5548999099126"
" CENTRO REGIONAL DE REFERÊNCIA PARA FORMAÇÃO PERMANENTE DE PROFISSIONAIS SOBRE CRACK E OUTRAS DROGAS DA UNIVERSIDADE FEDERAL DE PELOTAS"," CAPACITAÇÃO PARA PROFISSIONAIS SOBRE ACOLHIMENTO E ACOMPANHAMENTO DE USUÁRIOS DE DROGAS E SEUS FAMILIARES"," A POLÍTICA NACIONAL SOBRE DROGAS (PNAD) 
POLÍTICAS SETORIAIS DE SAÚDE E ASSISTÊNCIA SOCIAL
USO DE DROGAS E A SOCIEDADE
CONCEITOS GERAIS SOBRE DROGAS, PADRÕES DE USO E PRINCIPAIS QUADROS CLÍNICOS
EPIDEMIOLOGIA DO USO DE DROGAS NO BRASIL E NO MUNDO
REDE DE ATENÇÃO SUS, SUAS E RAPS
REDES E RECURSOS DA COMUNIDADE (ATIVIDADE DE DISPERSÃO PARA IDENTIFICAÇÃO DOS RECURSOS COMUNITÁRIOS)
ABORDAGENS TERAPÊUTICAS À USUÁRIOS DE DROGAS E SEUS FAMILIARES
INTERVENÇÃO BREVE
ACONSELHAMENTO MOTIVACIONAL
REDUÇÃO DE DANOS
DISCUSSÕES DE CASOS TRAZIDOS NAS ATIVIDADES DE DISPERSÃO
PROJETOS TERAPÊUTICOS SINGULARES
COMUNICAÇÃO TERAPÊUTICA
","60","SI","BRASIL","SI","2011","PRESENCIAL,","CENTRODEREFERENCIAUFPEL@HOTMAIL.COM","53 981240446"
" CENTRO REGIONAL DE REFERÊNCIA SOBRE DROGAS, UNIVERSIDADE FEDERAL DE PERNAMBUCO - CRR DROGAS RECIFE CAMPUS RECIFE ","CURSO DE ATUALIZAÇÃO SOBRE DROGAS PARA PROFISSIONAIS ATUANTES NAS REDES DE ATENÇÃO INTEGRAL DE ASSISTÊNCIA SOCIAL, EDUCAÇÃO E SAÚDE ","1) ESTADO, SOCIEDADE E PRINCÍPIOS ÉTICOS-POLÍTICOS PARA A COMPREENSÃO DAS DROGAS NA ATUALIDADE; 2) HISTÓRICO, CONCEITOS E PADRÕES DE CONSUMO DE DROGAS  E ASPECTOS ECONÔMICOS,  SOCIAIS E DEMOGRÁFICOS DOS MUNICÍPIOS; 3) TERRITÓRIO, GRUPOS POPULACIONAIS E POLÍTICAS SETORIAIS DE ASSISTÊNCIA SOCIAL, EDUCAÇÃO E  SAÚDE NO CUIDADO INTEGRAL DE USUÁRIOS COM PROBLEMAS RELACIONADOS ÀS DROGAS; 4) ESTRATÉGIAS DE CUIDADO E CONSTRUÇÃO DE REDES DE APOIO MATRICIAL E INTERSETORIAL; E5) REDE DE ATENÇÃO PSICOSSOCIAL (RAPS) NO CUIDADO INTEGRAL AOS USUÁRIOS COM PROBLEMAS RELACIONADOS ÀS DROGAS.","40","NO","BRASIL","NO","2013","PRESENCIAL,","RSUCHOA@UOL.COM.BR","+55 81 992620501"
" CENTROS DE REHABILITACIÓN Y SECUNDARIAS"," MITOS Y REALIDADES SOBRE LAS DROGAS, 10 RECOMENDACIONES PARA EVITAR EL CONSUMO DE SUSTANCIAS EN SUS HIJOS"," USO ABUSO DE SUSTANCIAS, DEPENDENCIA, MITOS SOBRE EL CONSUMO ENTRE OTROS","1","SI","MÉXICO","SI","2011","PRESENCIAL,","FORMAENSENADA@HOTMAIL.COM","1788577"
" COLEGIO DE PSICÓLOGOS DE COSTA RICA
"," “INTERVENCIÓN PSICOLÓGICA INTEGRAL EN PERSONAS CON CONSUMO DE DROGAS”."," TEMA 1: -PERSPECTIVA HISTÓRICA DEL USO SOCIO-IDEOLÓGICO DE LAS DROGAS.

               -MODELOS HISTÓRICOS Y PERFILES PSICOLÓGICOS SOBRE EL CONSUMIDOR DE DROGAS.
TEMA 2: -MODELOS CLÍNICOS DE ENFERMEDAD Y REDUCCIÓN DE DAÑOS.
                -FACTORES INTEGRALES ASOCIADOS AL CONSUMO DE LA DROGAS.
TEMA 3: -COMORBILIDAD EN CONSUMO DE DROGAS, PATOLOGÍA DUAL- DIAGNÓSTICO DUAL. 
             -LOGOTERAPIA EN EL CONSUMO DE DROGAS.

TEMA 4: -TERAPIA COGNITIVO-CONDUCTUAL EN EL CONSUMO DE DROGAS. TERAPIA RACIONAL                              EMOTIVA         CONDUCTUAL.

                     -GRUPOS DE AUTOAYUDA DE 12 PASOS.

TEMA 5: -MODELO TRANSTEÓRICO DEL CAMBIO DEL COMPORTAMIENTO DE JAMES PROCHASKA Y         CARLO DICLEMENTE.

TEMA 6: ENTREVISTA MOTIVACIONAL. INTERVENCIÓN BREVE (PRÁCTICAS DE SIMULACIÓN).

TEMA 7: ABORDAJE FAMILIAR EN EL CONSUMO DE DROGAS. CODEPENDENCIA.
	
TEMA 8: SEGUIMIENTO EN EL CONSUMO DE DROGAS. PREVENCIÓN DE RECAÍDAS COGNITIVO   CONDUCTUAL.

TEMA 9: EVALUACIÓN INTEGRAL EN EL CONSUMO DE DROGAS. REVISIÓN DE INSTRUMENTOS.
","18","SI","COSTA RICA","SI","2017","PRESENCIAL,","HTTP://PSICOLOGIACR.COM/","83013518"
" COLÉGIO SOCIAL DE PORTÃO- LAURO DE FREITAS- BAHIA"," GRUPO JOVEM EVITANDO AS DROGAS"," FOLDERES","4","SI","BRASIL","SI","2016","PRESENCIAL,","71 33691761","71 987330048"
" COMPANHIA IMOBILIÁRIA DE BRASÍLIA TERRACAP (EMPRESA PÚBLICA DE BRASÍLIA - CAPITAL DE BRASIL)
INFORMO QUE SE TRATA DE CAPACITACIÓN PARA LOS TRABAJADORES, JEFES, GERENTES, TRABAJADORES TERCERIZADOS DE ESTA EMPRESA PÚBLICA SOBRE LA DETECCIÓN TEMPRANA Y INTERVENCIONES PARA LOS CASOS DE ABUSO DE SUSTANCIAS EN EL CONTEXTO ORGANIZACIONAL
NO ES UN CENTRO DE CAPACITACIÓN PROPRIAMENTE"," GESTORES E GERENTES: ATORES ESTRATÉGICOS PARA A PREVENÇÃO AO USO ABUSIVO DE ÁLCOOL E OUTRAS DROGAS","- CUÁLES SON LOS TIPOS DE SUSTANCIAS PSICOACTIVAS
- PASO A PASO PARA LA INDETERMINACIÓN Y LAS FORMAS DE ENFOQUE DEL TRABAJADOR
- CÓMO LIDIAR CON LA RECAÍDA DE LOS TRABAJADORES EN TRATAMIENTO ","2","NO","BRASIL","NO","2012","PRESENCIAL,","NO HAY","+55 61 98125 9314"
" CONSEJO ESTATAL CONTRA LAS ADICCIONES"," PIBA
PROGRAMA DE INTERVENCIÓN BREVE PARA ADOLESCENTES QUE INICIAN EL CONSUMO DE ALCOHOL Y OTRAS DROGAS"," ADMISIÓN
EVALUACIÓN
INDUCCIÓN
BALANCE DECISIONAL
SITUACIONES DE RIESGO
PLANES DE ACCIÓN
METAS DE VIDA
CRUZANDO LA META
SEGUIMIENTO","8","SI","MÉXICO","SI","2014","PRESENCIAL,","FORMAMXL@IPEBC.GOB.MX","6862267978"
" CONSEJO ESTATAL CONTRA LAS ADICCIONES"," PROGRAMA DE INTERVENCION  BREVE PARA ADOLESCENTES QUE INICIAN EN EL CONSUMO DE ALCOHOL Y OTRAS DROGAS"," ADMISION, EVALUACION, INDUCCION, BALANCE DECISIONAL, SITUACIONES DE RIESGO, PLANES DE ACCION, METAS DE VIDA, CRUZANDO LA META Y SEGUIMIENTO.","8","SI","MÉXICO","SI","2014","PRESENCIAL,","FORMAMXL@IPEBC.GOB.MX","6862383371"
" CONSEJO ESTATAL CONTRA LAS ADICCIONES","10 RECOMENDACIONES PARA PREVENIR EL USO DE ALCOHOL, TABACO ","NO TIENE MODULOS","1","SI","MÉXICO","SI","2011","PRESENCIAL,","FORMAMXL@IPEBC.GOB.MX","6862267978"
" CONSEJO ESTATAL CONTRA LAS ADICCIONES"," 10 RECOMENDACIONES"," NO TIENE MODULO","2","SI","MÉXICO","SI","2013","PRESENCIAL,","FORMAMXL@IPEBC.GOB.MX","6862383371"
" CONSEJO ESTATAL CONTRA LAS ADICCIONES (CECA)","HABILIDADES PARA LA VIDA"," HABILIDADES SOCIALES, HABILIDADES DEL PENSAMIENTO Y MANEJO DE EMOCIONES","4","SI","MÉXICO","SI","2013","PRESENCIAL,","FORMAMXL@IPEBC.GOB.MX","6862383371"
" CONSEJO ESTATAL CONTRA LAS ADICCIONES DE PUEBLA"," DETECCIÓN TEMPRANA Y ATENCIÓN OPORTUNA DE RIESGOS PSICOSOCIALES Y DE ADICCIONES EN POBLACION ADULTA","PANORAMA EPIDEMIOLOGICO DE LAS ADICCIONES
NIVELES DE INTERVENCION PREVENTIVA
RIESGOS PSICOSOCIALES ASOCIADOS AL CONSUMO DE SUSTANCIAS PSICOACTIVAS.
DETECCIÓN DE CONSUMO DE SUSTANCIAS PSICOACTIVAS
INTERVENCIÓN GRUPAL PSICOEDUCATIVA
INTERVENCIÓN BREVE ASSIST
","40","SI","MÉXICO","SI","2009","PRESENCIAL,","CRUZ.ZENAIDO@YAHOO.COM","CELULAR: 2221253263"
" CONSEJO ESTATAL CONTRA LAS ADICCIONES PUEBLA"," MANEJO INTEGRAL DEL TABAQUISMO
PROGRAMA DE ALCOHOLIMETRÍA
INHALABLES
HABILIDADES PARA LA VIDA
MITOS Y REALIDADES DE LAS DROGAS
ADICCIÓN A RELACIONES TÓXICAS
SISTEMA DE DIAGNOSTICO, REFERENCIA Y CONTRAREFERENCIA
IDEAS
"," 1. HISTORIA DEL TABAQUISMO
2. DAÑOS A LA SALUD DEL TABAQUISMO
3. ESPACIOS LIBRES DE HUMO DE TABACO
4. LEY GENERAL PARA EL CONTROL DEL TABACO
5. PUBLICIDAD Y TABAQUISMO
6. CERO MUERTES POR ALCOHOL AL VOLANTE
7. EL OPERATIVO ALCOHOLÍMETRO
8. HABILIDADES SOCIALES
9. HABILIDADES DEL PENSAMIENTO
10. MANEJO DE EMOCIONES
11. GENERALIDADES DE LAS DROGAS
12. CONSUMO, ABUSO Y DEPENDENCIA
13. DAÑOS Y CONSECUENCIAS DEL CONSUMO DE DROGAS LEGALES E ILEGALES
14. CODEPENDENCIA
","4","SI","MÉXICO","SI","2009","PRESENCIAL,","CECAPUEBLAMX@GMAIL.COM","2221759296"
" CONSEJO ESTATAL CONTRA LAS ADICIONES"," CRIANZA POSITIVA","1. SESION, EVALUACIÓN ESCRITA GRUPAL
2. INVENTARIO DE PRACTICAS DE CRIANZA
3. CUESTIONARIO DE HABILIDADES DEL MANEJO INFANTIL
4. INVENTARIO DE CONDUCTA INFANTIL
5. CUESTIONARIO DE SATISFACCIÓN DEL CLIENTE
6. ANÁLISIS FUNCIONAL DE LA CONDUCTA Y CAMBIO CONDUCTA
7. CORRECCIÓN DEL COMPORTAMIENTO
8. ACTIVIDADES PLANEADAS
9. EVALUACIÓN INDIVIDUAL ATRAVEZ DE SITUACIONES SIMULADAS

","14","SI","MÉXICO","SI","2014","PRESENCIAL,","FORMAMXL@IPEBC.GOB.MX","6862267978"
"CONSEJOP ESTATAL CONTRA LAS ADICCIONES"," MITOS Y REALIDADES"," MITOS  Y REALIDADES DE LAS DROGAS: ALCOHOL, TABACO Y OTRAS DROGAS.","2","SI","MÉXICO","SI","2013","PRESENCIAL,","FORMAMXL@IPEBC.GOM.MX","6862383371"
" CORPORACIÓN CAMINOS"," PREVENCIÓN, DETECCIÓN TEMPRANA Y ABORDAJE DEL CONSUMO DE SPA EN ESCENARIOS EDUCATIVOS"," •	DEFINICIÓN, CLASIFICACIÓN, EFECTOS DEL CONSUMO DE SUSTANCIAS PSICOACTIVAS
•	FACTORES DE RIESGO Y PROTECCIÓN FRENTE AL CONSUMO DE SPA
•	CATEGORÍAS DE CONSUMO
•	HERRAMIENTAS DE PREVENCIÓN Y DETECCIÓN TEMPRANA DEL CONSUMO DE SPA
","4","SI","COLOMBIA","SI","3","PRESENCIAL,","PREVENCION@CORPORACIONCAMINOS.ORG","3167466034"
" CORPORACION SEMILLAS DE FE"," QUE ES LA SALUD MENTAL."," TALLER  FACTORES DE RIESGO Y PROTECCIÓN EN EL ÁMBITO ESCOLAR.
ACTIVIDAD DE PROMOCIÓN  AUTO CUIDADO.
CONFERENCIA PAUTAS DE CRIANZA.
CONFERENCIA VALIDACIÓN EMOCIONAL.
MITOS  ACERCA DE LAS DROGAS – FASES – NUEVAS  DROGAS. 
ENCUESTAS EN LINEA EN TEMAS DE SALUD MENTAL; ÍNDICE DE RIESGO DE USO Y ABUSO DE DROGAS; RIESGO DE EMBARAZO ADOLESCENTE.   ","8","SI","COLOMBIA","SI","2008","PRESENCIAL,","INFO@SEMILLASDEFE.COM","573 - 3103704357"
" CREPEIA"," TREINAMENTO SOBRE INTERVENÇÃO BREVE NA ÁREA DE ÁLCOOL E OUTRAS DROGAS"," - CONHECIMENTO SOBRE ÁLCOOL E OUTRAS DROGAS
- CONTEXTO DA IB
- METODOLOGIA DAS TRIAGENS E PSICOTERAPIAS BREVES
- PRINCÍPIOS DA IB
- DETALHAMENTO SOBRE OS FRAMES
- CASOS CLÍNICOS
","30","SI","BRASIL","SI","2013","PRESENCIAL,","MLEONFERREIRA2014@GMAIL.COM","32988630886"
" CRRESCES CENTRO REGIONAL DE REFERÊNCIA EM PREVENÇÃO, ATENÇÃO E REINSERÇÃO SOCIAL - ÁLCOOL E DROGAS"," DEPENDÊNCIA QUÍMICA COMO PROCESSO BIOPSICOSSOCIAL, ATENÇÃO INTEGRAL ÁLCOOL E DROGAS NA ATENÇÃO PRIMÁRIA: TEORIA E PRÁTICA, INTERVENÇÕES COM FAMILIARES DE USUÁRIOS DE DROGAS: TEORIA E PRÁTICA, REINSERÇÃO SOCIAL APLICADA À DEPENDÊNCIA QUÍMICA, TREINAMENTO DE HABILIDADES MOTIVACIONAIS, SUPERVISÃO TÉCNICO-INSTITUCIONAL EM CAPS-AD."," HOUVE OS MÓDULOS DO CURSO BÁSICO E OS MODULOS DOS CURSOS ESPECÍFICOS. OS DO BÁSICO ABORDARAM O CONTEÚDO COMUM AOS DOS CURSOS ESPECÍFICOS: EPIDEMIOLOGIA, REDE DE ATENÇÃO PSICOSSOCIAL, AQUISIÇÃO, MANUTENÇÃO E MODIFICAÇÃO DO USO DE DROGAS, NEUROBIOLOGIA DO USO, PADRÕES DE USO E PONTOS-CHAVE DA INTERVENÇÃO NA PREVENÇÃO, NA ATENÇÃO E NA REINSERÇÃO.","80","NO","BRASIL","NO","2012","PRESENCIAL,","NÃO  HÁ ","27 999299168"
" CRR-REDE MULTICÊNTRICA- UFRGS"," FORMAÇÃO PERMANENTE EM POLÍTICAS DE DROGAS","POLÍTICAS PÚBLICAS E POLÍTICAS DE DROGAS
REDES
ATENÇÃO PSICOSSOCIAL
REDUÇÃO DE DANOS
ACOLHIMENTO E CUIDADO A PESSOAS QUE USAM DROGAS
","60","NO","BRASIL","NO","2011","PRESENCIAL,","REDEMULTO@UFRGS.BR","555191642895"
" CRR-UFJF"," CRR-UFJF"," INTERVENÇÕES BREVES PARA ÁLCOOL, TABACO E OUTRAS DROGAS","30","SI","BRASIL","SI","2003","PRESENCIAL,","POLLYANNASSILVEIRA@GMAIL.COM","9999"
" CRRUFMG"," CURSO DE INTERVENÇÃO BREVE PARA PROFISSIONAIS DE SAÚDE QUE ATUAM NA REDE SUS E SUAS."," N/A","60","SI","BRASIL","SI","2012","PRESENCIAL,","CRRDROGAS.UFMG@GMAIL.COM","+55 31 34099786"
