"db","index","title","authors","abstract"
"fuente academica","92.
		","Factores asociados con los trastornos de la conducta alimentaria en estudiantes universitarios en Cali, Colombia. ","By: Fandiño, Andrés; Giraldo, Sandra C.; Martínez, Carolina; Aux, Claudia Paola; Espinosa, Rafael. ","Introduction: There are few studies about eating disorders (ED) in adolescents and young adults in Latin America. Moreover, socio-demographic characteristics of university students suggest they m..."
"fuente academica","93.
		","Prevención de la contaminación microbiana en la micropropagación de la malanga clon 'Camerún 14' (Colocasia esculenta). ","By: Santos, Arletys; García, Magaly; Carrazana, Daymí; López, Jorge; Ventura, José de la C.; Basail, Milagros; Medero, Víctor; Cabrera, Manuel; Rayas, Aymé; Gálvez, Diosdada; Bauta, Maricel; Álvarez, Miguel; Ortega, Alexis. ","Taro (Colocasia esculenta) constitute one of the main crop for the human diet and it has become a highly demanded species at the national and international markets, as well as, in the diet of hos..."
"fuente academica","94.
		","Indicios neuronales de una elevada detección de errores en el trastorno depresivo mayor. ","By: Chiu, Pearl H.; Deldin, Patricia J. ","Objetivo: En la etiología y el mantenimiento del trastorno depresivo mayor se han involucrado anomalías en el procesamiento de errores. En concreto, los individuos deprimidos son altamente sensib..."
"fuente academica","95.
		","Experiencia Estética y Desarrollo Humano. Las Artes Temporales en la Génesis de Procesos Psicológicos Complejos. ","By: Español, Silvia. ","In the field of developmental psychology new hypotheses are currently being brought forward about the infant's subjectivity and intersubjectivity. Namely, these are related to (a) the detection o..."
"fuente academica","96.
		","La evaluación del desarrollo comunicativo y lingüístico mediante la versión española de los inventarios MacArthur-Bates. ","By: Mariscal, Sonia; López-Ornat, Susana; Gallego, Carlos; Gallo, Pilar; Karousou, Alexandra; Martínez, María. ","The MacArthur-Bates Inventories are a valid and reliable method for assessing communicative and linguistic skills in infants (8-15 months) and young children (16-30 months), and have been adapted..."
"fuente academica","97.
		","Los menores con discapacidad como víctimas de maltrato infantil: una revisión. ","By: Pedro-Viejo, Ana Berástegui; Gómez-Bengoechea, Blanca. ","The appropriate protection of children's with disabilities rights is already a non addressed issue in our societies. The main objective of this review is to increase the awareness of the professi..."
"fuente academica","98.
		","Imágenes diagnósticas en artritis reumatoide. ","By: Rojas-Villarraga, Adriana; Páramo, Enrique Calvo. ","Rheumatoid arthritis is a chronic, autoimmune, inflammatory disease, which has manifestations at the joints and, in almost half of the patients, in other systems. The alterations produced at the ..."
"fuente academica","99.
		","Evaluación de la calidad de servicio de VoIP en presencia de AQM. ","By: Alfonso, V.; Álvarez, F. F.; Arco, P.; Rodríguez, C. A. ","This paper presents a comprehensive study about the impact of active queue management (AQM) on voice over Internet Protocol (VoIP) quality of service. One of the most representative AQM scheme is..."
"fuente academica","100.
		","Prevención de la contaminación microbiana en la micropropagación de la malanga clon 'Camerún 14' (Colocasia esculenta). ","By: Santos, Arletys; García, Magaly; Carrazana, Daymí; López, Jorge; C. Ventura, José de la; Basail, Milagros; Medero, Víctor; Cabrera, Manuel; Rayas, Aymé; Gálvez, Diosdada; Bauta, Maricel; Álvarez, Miguel; Ortega, Alexis. ","Taro (Colocasia esculenta) constitute one of the main crop for the human diet and it has become a highly demanded species at the national and international markets, as well as, in the diet of hos..."
"fuente academica","101.
		","Prevención de la contaminación microbiana en la micropropagación de la malanga clon 'Camerún 14' (Colocasia esculenta). ","By: Santos, Arletys; García, Magaly; Carrazana, Daymí; López, Jorge; Ventura, José de la C.; Basail, Milagros; Medero, Víctor; Cabrera, Manuel; Rayas, Aymé; Gálvez, Diosdada; Bauta, Maricel; Álvarez, Miguel; Ortega, Alexis. ","Taro (Colocasia esculenta) constitute one of the main crop for the human diet and it has become a highly demanded species at the national and international markets, as well as, in the diet of hos..."
"fuente academica","102.
		","PREVALENCIA DEL DÉFICIT ATENCIONAL CON HIPERACTIVIDAD EN NIÑOS Y NIÑAS DE 3 A 5 AÑOS DE LA CIUDAD DE CHILLÁN, CHILE. ","By: Narváez, Gloria Herrera. ","According to what the DSM-IV (1995) reports, Attention Deficit Hyperactivity Disorder (ADHD) is a psychological condition that affects between 3 to 5% of infants. This disorder interferes not onl..."
"fuente academica","103.
		","Developing a combined predictor measure for early detection of psychosis proneness. ","By: Paino Piñeiro, M. M.; Lemos Giraldéz, S. ","Introduction. This study falls within research on neurocognitive risk markers of schizophrenia spectrum disorders, and its usefulness for early prevention strategies. Method. Two samples of 60 ad..."
"fuente academica","104.
		","Se Superará la Crisis de la Seguridad Alimenticia? ","By: Higgins, Kevin T. ","El artículo explora varias metodologías para prevenir riesgos de contaminación alimenticia. Describe el método de REP (Recuento Estándar en Placa), un análisis estadístico, de uso en planta, que ..."
